Participant,Unprocessed_Pleasantness_Mean,Unprocessed_Pleasantness_SD,Unprocessed_Arousal_Mean,Unprocessed_Arousal_SD,UltraProcessed_Pleasantness_Mean,UltraProcessed_Pleasantness_SD,UltraProcessed_Arousal_Mean,UltraProcessed_Arousal_SD,Delta_Pleasantness,Delta_Arousal
1,1.13,0.83,4.25,2.31,0.38,0.74,3.50,2.39,-0.75,-0.75
2,1.50,0.53,5.38,1.06,1.00,1.31,5.75,0.71,-0.50,0.38
3,1.00,1.51,3.25,1.91,2.50,2.14,6.63,2.26,1.50,3.38
4,2.38,1.60,4.88,2.70,3.25,1.39,7.00,1.60,0.88,2.13
5,0.00,0.00,3.13,0.35,0.13,0.35,3.00,0.53,0.13,-0.13
6,1.88,0.83,3.25,1.83,1.75,1.16,3.00,2.00,-0.13,-0.25
7,2.50,2.07,1.50,0.93,3.00,1.85,1.25,0.71,0.50,-0.25
8,0.75,1.39,2.50,2.07,0.88,0.83,3.63,2.00,0.13,1.13
9,1.63,1.60,4.63,2.45,2.50,1.69,6.13,3.14,0.88,1.50
10,0.75,0.89,2.25,1.58,-0.25,2.12,2.75,2.25,-1.00,0.50
11,2.63,1.92,6.75,3.15,1.75,2.38,6.50,2.88,-0.88,-0.25
12,0.50,0.93,2.13,2.10,1.38,0.92,4.13,2.64,0.88,2.00
13,2.00,1.77,5.25,3.45,3.38,1.19,6.88,2.64,1.38,1.63
14,1.38,1.77,6.00,1.77,1.88,1.81,6.25,1.04,0.50,0.25
15,0.88,0.83,5.25,0.46,0.63,0.74,5.13,0.35,-0.25,-0.13
16,1.38,1.41,4.75,2.05,2.50,1.07,6.63,1.60,1.13,1.88
17,1.13,0.64,8.00,1.41,-0.13,1.46,4.88,1.64,-1.25,-3.13
18,1.25,1.16,5.13,2.80,1.00,1.85,6.00,1.31,-0.25,0.88
19,4.00,0.00,1.00,0.00,1.75,1.98,1.00,0.00,-2.25,0.00
20,1.63,1.30,4.88,2.03,2.38,1.69,5.38,2.07,0.75,0.50
21,1.88,1.46,2.50,2.62,2.50,1.93,4.75,2.82,0.63,2.25
22,1.13,1.96,5.50,1.31,1.38,1.85,6.13,1.46,0.25,0.63
23,1.88,1.36,2.50,2.73,2.50,1.20,3.63,2.88,0.63,1.13
24,1.88,0.64,2.13,1.64,1.88,0.83,2.25,1.67,0.00,0.13
25,0.63,0.92,5.38,1.06,0.88,0.83,5.25,1.49,0.25,-0.13
26,1.13,1.36,3.38,1.69,1.88,1.25,3.75,2.38,0.75,0.38
27,1.38,2.88,7.50,1.41,3.63,1.06,8.63,1.06,2.25,1.13
28,0.88,0.83,5.00,0.00,1.00,0.53,5.00,0.00,0.13,0.00
29,0.38,0.52,4.38,0.52,0.50,1.07,4.63,0.92,0.13,0.25
30,0.75,1.04,5.25,0.71,1.25,0.89,5.00,0.53,0.50,-0.25
31,0.50,1.07,4.50,1.77,-0.25,1.04,4.38,2.00,-0.75,-0.13
32,1.00,4.14,7.63,1.60,3.00,2.83,8.38,1.41,2.00,0.75
33,1.38,1.51,2.50,1.93,2.63,1.69,5.13,3.18,1.25,2.63
34,1.25,0.89,5.00,0.00,1.50,1.31,4.50,1.41,0.25,-0.50
35,0.88,1.25,4.38,1.69,1.13,2.85,5.88,2.03,0.25,1.50
36,2.13,1.81,5.63,2.97,2.88,1.55,6.88,2.75,0.75,1.25
37,1.25,1.49,3.00,2.07,2.25,1.75,4.63,1.69,1.00,1.63
38,2.63,1.19,3.25,1.49,2.88,1.25,4.50,1.69,0.25,1.25
39,1.13,1.46,4.00,2.39,1.50,1.77,5.38,1.60,0.38,1.38
40,1.38,1.92,4.75,1.75,2.25,1.98,4.25,2.71,0.88,-0.50
41,1.13,0.83,3.25,1.58,1.13,0.83,3.00,1.41,0.00,-0.25
42,2.63,1.19,6.25,1.16,2.88,1.46,6.13,2.59,0.25,-0.13
43,3.50,1.41,7.00,1.51,2.75,1.04,7.38,1.51,-0.75,0.38
44,1.00,1.41,4.38,2.00,1.50,2.62,5.88,1.81,0.50,1.50
45,-0.38,0.52,2.38,1.51,2.38,1.19,5.88,1.46,2.75,3.50
46,0.00,0.76,4.88,0.35,0.38,0.74,5.13,0.64,0.38,0.25
47,1.13,0.99,3.00,1.69,1.88,0.64,3.63,1.51,0.75,0.63
48,0.50,0.53,2.00,0.00,1.13,0.64,1.75,0.46,0.63,-0.25
49,2.00,1.51,4.13,1.25,1.63,2.33,5.25,0.89,-0.38,1.13
50,1.63,2.88,4.63,2.07,2.50,2.27,5.88,2.75,0.88,1.25
51,0.38,1.19,3.75,2.12,2.13,1.46,5.13,2.95,1.75,1.38
52,0.25,0.89,2.63,0.92,1.00,1.77,3.88,2.70,0.75,1.25
53,0.25,0.46,1.50,1.41,0.50,1.07,1.50,1.41,0.25,0.00
54,1.25,0.71,1.63,0.74,0.88,1.25,2.13,0.64,-0.38,0.50
55,0.38,1.77,1.13,0.35,0.88,1.64,1.75,2.12,0.50,0.63
56,0.63,0.92,1.25,0.46,0.88,0.83,1.75,0.71,0.25,0.50
57,0.50,0.93,1.88,0.83,2.13,1.13,1.50,0.53,1.63,-0.38
58,2.25,2.25,7.00,1.60,3.25,1.49,8.25,1.49,1.00,1.25
59,0.88,0.99,5.50,2.07,0.50,2.33,4.13,2.59,-0.38,-1.38
60,1.75,2.25,4.00,1.41,1.38,1.41,4.13,1.73,-0.38,0.13
61,1.25,1.83,6.13,1.46,2.50,2.00,4.38,2.00,1.25,-1.75
62,0.13,1.25,4.88,0.64,1.88,0.64,4.00,1.07,1.75,-0.88
63,0.50,0.53,1.13,0.35,1.38,0.74,2.25,1.28,0.88,1.13
64,3.25,1.49,6.13,2.10,2.50,2.78,6.38,2.13,-0.75,0.25
65,-0.63,0.52,3.88,0.83,0.38,0.74,5.75,0.71,1.00,1.88
66,2.13,2.03,5.00,2.39,1.38,0.92,3.50,2.56,-0.75,-1.50
67,1.75,1.39,5.50,2.27,2.50,1.41,6.38,2.67,0.75,0.88
68,1.63,1.51,4.38,1.60,1.38,1.85,4.13,2.03,-0.25,-0.25
69,0.50,0.93,1.50,0.93,1.75,2.25,5.50,3.34,1.25,4.00
70,2.38,1.92,3.50,2.07,3.75,0.71,7.00,1.85,1.38,3.50
71,1.13,1.81,4.50,1.31,2.00,1.51,4.63,2.13,0.88,0.13
72,1.25,1.83,1.00,0.00,0.75,1.49,1.50,0.93,-0.50,0.50
73,0.63,1.41,1.25,0.46,0.38,1.06,1.38,0.74,-0.25,0.13
74,1.38,2.07,3.75,2.05,2.63,1.77,5.13,2.17,1.25,1.38
75,1.63,2.00,4.50,1.41,2.00,1.85,3.75,2.38,0.38,-0.75
76,1.25,1.83,4.25,2.82,2.00,1.07,5.00,2.14,0.75,0.75
77,0.00,2.39,3.88,1.73,1.50,0.93,5.13,0.83,1.50,1.25
78,2.38,1.51,6.63,1.19,3.25,1.04,7.88,0.83,0.88,1.25
79,0.00,2.98,5.38,2.20,2.38,2.33,6.88,1.73,2.38,1.50
80,1.63,1.41,3.00,1.51,1.13,1.89,2.75,1.98,-0.50,-0.25
81,-0.38,2.77,4.25,1.98,-3.50,1.07,2.13,0.35,-3.13,-2.13
82,3.00,2.83,4.13,2.23,3.00,2.14,5.50,2.78,0.00,1.38
83,3.38,1.41,2.50,3.12,1.13,3.87,1.00,2.07,-2.25,-1.50
84,2.50,1.77,6.38,1.92,1.13,2.03,5.50,0.93,-1.38,-0.88
85,0.75,0.89,1.25,0.46,1.13,2.30,3.38,3.16,0.38,2.13
86,1.50,0.93,5.25,0.71,0.75,1.04,5.38,1.06,-0.75,0.13
87,0.88,2.10,2.38,1.92,2.50,1.77,4.88,2.85,1.63,2.50
88,0.88,0.83,1.38,0.74,0.38,1.41,1.63,0.74,-0.50,0.25
89,1.88,2.85,3.75,1.83,1.63,2.72,4.63,3.20,-0.25,0.88
90,1.88,1.46,4.50,1.07,3.50,1.41,7.00,1.20,1.63,2.50
91,0.00,0.53,1.13,0.35,0.25,0.89,2.25,1.58,0.25,1.13
92,0.38,0.74,2.88,2.75,2.00,1.93,5.25,2.87,1.63,2.38
93,2.50,0.76,5.25,2.31,1.50,1.51,4.25,1.67,-1.00,-1.00
94,0.13,0.83,4.00,1.31,0.63,0.92,5.13,0.64,0.50,1.13
95,1.00,2.51,6.50,2.33,1.13,3.04,5.88,2.80,0.13,-0.63
96,0.88,0.35,3.75,0.71,0.50,0.53,3.88,0.64,-0.38,0.13
97,2.00,1.07,1.50,0.93,2.25,1.67,2.25,1.04,0.25,0.75
98,0.38,0.52,1.50,0.53,-0.13,1.36,3.25,1.28,-0.50,1.75
99,1.13,1.55,1.38,0.74,0.50,1.41,1.88,0.83,-0.63,0.50
100,0.50,2.83,3.63,2.67,1.88,1.36,6.00,2.20,1.38,2.38
101,2.00,0.76,5.13,2.03,3.13,1.46,7.63,1.06,1.13,2.50
102,2.13,1.36,5.13,1.73,2.88,1.25,7.63,1.19,0.75,2.50
103,1.63,1.51,6.50,1.51,1.50,1.85,6.63,1.85,-0.13,0.13
104,0.25,1.28,3.63,2.39,2.25,2.76,6.50,3.55,2.00,2.88
105,2.25,1.75,6.38,2.33,1.75,1.91,5.00,2.39,-0.50,-1.38
106,0.25,0.71,4.50,2.39,1.13,1.64,5.13,2.17,0.88,0.63
107,1.25,0.71,2.38,1.85,1.25,1.39,4.00,2.27,0.00,1.63
108,2.75,2.05,6.63,3.46,1.63,1.77,4.88,3.31,-1.13,-1.75
109,0.63,1.30,5.50,0.76,1.25,1.39,6.63,0.74,0.63,1.13
110,0.50,1.41,3.25,1.98,2.13,1.81,4.75,1.98,1.63,1.50
111,0.75,0.89,5.25,0.46,0.88,0.83,6.00,1.20,0.13,0.75
112,1.88,1.13,3.63,2.33,1.13,1.36,3.25,2.25,-0.75,-0.38
113,0.75,1.49,4.75,0.71,2.63,1.60,5.38,0.74,1.88,0.63
114,2.00,1.51,1.75,1.04,2.25,1.28,3.25,1.98,0.25,1.50
115,2.75,1.58,4.75,2.60,2.00,3.25,5.88,4.32,-0.75,1.13
116,1.75,0.71,4.88,0.83,1.38,0.74,5.50,1.31,-0.38,0.63
117,0.63,0.74,5.00,0.00,1.50,1.93,5.13,0.35,0.88,0.13
118,-1.13,1.13,3.63,1.69,1.88,1.13,6.88,0.99,3.00,3.25
119,-1.13,3.56,4.88,3.60,0.38,4.07,4.50,3.34,1.50,-0.38
120,1.25,0.89,3.13,1.55,1.13,0.83,3.25,1.83,-0.13,0.13
121,1.50,3.16,4.50,3.16,1.13,2.95,4.13,3.83,-0.38,-0.38
122,-2.38,3.78,3.13,3.52,-1.63,2.88,2.38,3.66,0.75,-0.75
123,1.63,3.02,0.50,0.53,2.50,1.77,0.38,0.52,0.88,-0.13
124,0.75,3.73,0.63,0.74,0.25,4.40,1.63,2.92,-0.50,1.00
125,0.25,0.71,2.38,1.06,2.13,1.46,6.00,1.93,1.88,3.63
126,2.50,1.07,4.00,1.69,1.63,1.77,5.13,1.73,-0.88,1.13
127,2.50,2.07,7.00,1.51,2.13,1.55,6.00,2.83,-0.38,-1.00
128,1.63,1.51,5.88,2.47,0.88,2.90,5.38,2.56,-0.75,-0.50
129,2.50,1.77,5.38,2.39,2.63,2.33,5.75,2.87,0.13,0.38
130,2.13,1.36,6.13,1.13,2.25,1.28,6.38,2.33,0.13,0.25
131,1.25,1.04,4.88,2.59,0.63,1.19,3.75,2.43,-0.63,-1.13
132,4.00,0.00,1.75,1.75,-0.25,1.28,4.50,1.69,-4.25,2.75
133,3.25,1.16,3.50,1.07,0.00,2.07,2.88,1.46,-3.25,-0.63
134,0.75,2.12,5.88,0.83,0.88,2.17,5.50,2.45,0.13,-0.38
135,2.25,1.91,4.75,1.83,0.50,3.51,5.38,2.92,-1.75,0.63
136,0.50,2.56,3.25,1.91,2.50,1.51,4.63,3.20,2.00,1.38
137,1.75,1.49,2.88,1.46,1.25,1.75,2.38,1.51,-0.50,-0.50
138,0.38,0.52,1.13,0.35,0.25,0.46,1.38,0.52,-0.13,0.25
139,0.63,1.60,3.50,1.07,0.75,1.75,3.88,1.46,0.13,0.38
140,2.13,0.35,3.88,1.25,1.38,1.41,2.25,1.04,-0.75,-1.63
141,3.38,1.41,7.13,2.47,0.00,3.16,5.63,2.72,-3.38,-1.50
142,3.00,1.41,6.13,0.83,2.13,1.25,6.25,1.04,-0.88,0.13
143,2.75,1.16,3.00,2.07,2.88,1.25,4.75,1.49,0.13,1.75
144,0.25,1.16,1.13,0.35,1.50,0.93,2.63,1.69,1.25,1.50
145,0.50,0.76,3.00,1.07,2.38,1.19,4.50,1.51,1.88,1.50
146,3.88,0.35,8.75,0.46,3.50,1.41,8.00,2.83,-0.38,-0.75
147,0.13,0.64,3.25,0.46,0.63,1.77,3.75,2.25,0.50,0.50
148,0.00,0.00,2.75,2.25,2.25,1.67,3.75,3.01,2.25,1.00
149,-0.13,0.35,3.25,2.43,1.38,1.30,6.50,1.85,1.50,3.25
150,1.00,1.69,5.50,1.20,1.38,2.00,6.00,2.51,0.38,0.50
151,3.50,0.76,7.38,2.20,2.13,1.73,6.13,1.96,-1.38,-1.25
152,1.25,1.58,1.00,0.00,4.00,0.00,1.50,0.76,2.75,0.50
153,0.38,1.06,5.13,0.35,1.25,0.89,4.88,0.64,0.88,-0.25
154,-0.50,1.41,1.25,0.71,2.50,1.41,4.50,2.33,3.00,3.25
155,1.38,0.74,3.13,2.23,2.13,0.99,4.75,2.05,0.75,1.63
156,0.50,1.77,3.75,1.04,0.50,1.41,4.25,1.49,0.00,0.50
157,0.63,0.92,5.63,2.20,1.38,1.41,6.25,1.83,0.75,0.63
158,2.00,2.83,7.00,2.78,3.50,1.41,7.88,1.36,1.50,0.88
159,0.50,1.69,4.38,1.92,1.63,0.74,3.75,2.12,1.13,-0.63
160,2.75,1.28,5.75,1.83,0.88,2.90,4.00,3.38,-1.88,-1.75
161,0.38,1.92,2.13,1.46,1.50,1.07,4.25,3.54,1.13,2.13
162,0.38,1.85,2.50,1.51,2.25,1.67,4.00,2.56,1.88,1.50
163,0.50,1.60,2.88,1.64,0.50,2.07,4.75,2.31,0.00,1.88
164,0.00,0.00,1.00,0.00,0.25,0.46,1.38,0.74,0.25,0.38
165,-0.25,3.33,5.25,3.33,1.00,2.27,2.88,2.23,1.25,-2.38
166,1.75,1.91,4.88,3.80,3.38,0.92,8.25,1.39,1.63,3.38
167,0.75,2.96,3.63,2.00,2.75,2.76,5.75,2.60,2.00,2.13
168,-0.50,1.51,5.38,1.06,1.13,2.70,6.75,1.75,1.63,1.38
169,1.88,0.83,4.38,1.92,2.88,1.73,6.88,1.81,1.00,2.50
170,0.13,0.99,4.38,2.00,2.38,1.06,7.00,1.31,2.25,2.63
171,0.63,2.20,5.13,2.90,3.75,0.71,8.75,0.71,3.13,3.63
172,3.00,1.85,1.00,0.00,2.63,3.16,0.88,0.35,-0.38,-0.13
173,2.38,0.74,6.25,1.16,1.50,1.07,5.75,0.89,-0.88,-0.50
174,-1.38,1.77,1.75,2.12,2.25,2.49,6.75,2.92,3.63,5.00
