Participant,Food_Type,Mean,SD,Delta,Direction
1,Unprocessed,5.13,3.48,0.88,Prefers_Ultraprocessed
1,Ultraprocessed,6.0,3.42,0.88,Prefers_Ultraprocessed
2,Unprocessed,6.88,0.99,-2.38,Prefers_Unprocessed
2,Ultraprocessed,4.5,3.16,-2.38,Prefers_Unprocessed
3,Unprocessed,5.63,2.77,0.88,Prefers_Ultraprocessed
3,Ultraprocessed,6.5,2.73,0.88,Prefers_Ultraprocessed
4,Unprocessed,3.25,3.41,3.0,Prefers_Ultraprocessed
4,Ultraprocessed,6.25,2.92,3.0,Prefers_Ultraprocessed
5,Unprocessed,0.25,0.46,0.13,Prefers_Ultraprocessed
5,Ultraprocessed,0.38,0.52,0.13,Prefers_Ultraprocessed
6,Unprocessed,6.88,1.64,-0.88,Prefers_Unprocessed
6,Ultraprocessed,6.0,2.88,-0.88,Prefers_Unprocessed
7,Unprocessed,4.25,3.73,-0.88,Prefers_Unprocessed
7,Ultraprocessed,3.38,3.66,-0.88,Prefers_Unprocessed
8,Unprocessed,0.75,1.16,1.0,Prefers_Ultraprocessed
8,Ultraprocessed,1.75,1.75,1.0,Prefers_Ultraprocessed
9,Unprocessed,4.25,3.28,0.25,Prefers_Ultraprocessed
9,Ultraprocessed,4.5,3.85,0.25,Prefers_Ultraprocessed
10,Unprocessed,3.13,3.68,-0.25,Prefers_Unprocessed
10,Ultraprocessed,2.88,3.18,-0.25,Prefers_Unprocessed
11,Unprocessed,5.0,3.34,0.25,Prefers_Ultraprocessed
11,Ultraprocessed,5.25,3.65,0.25,Prefers_Ultraprocessed
12,Unprocessed,3.75,3.33,1.88,Prefers_Ultraprocessed
12,Ultraprocessed,5.63,3.11,1.88,Prefers_Ultraprocessed
13,Unprocessed,5.0,2.67,0.38,Prefers_Ultraprocessed
13,Ultraprocessed,5.38,2.92,0.38,Prefers_Ultraprocessed
14,Unprocessed,3.25,2.96,0.75,Prefers_Ultraprocessed
14,Ultraprocessed,4.0,2.51,0.75,Prefers_Ultraprocessed
15,Unprocessed,5.0,1.85,0.0,No_Preference
15,Ultraprocessed,5.0,1.93,0.0,No_Preference
16,Unprocessed,4.75,2.31,1.5,Prefers_Ultraprocessed
16,Ultraprocessed,6.25,1.39,1.5,Prefers_Ultraprocessed
17,Unprocessed,6.13,0.99,-2.63,Prefers_Unprocessed
17,Ultraprocessed,3.5,1.85,-2.63,Prefers_Unprocessed
18,Unprocessed,3.88,2.7,-0.38,Prefers_Unprocessed
18,Ultraprocessed,3.5,2.45,-0.38,Prefers_Unprocessed
19,Unprocessed,7.88,0.35,-4.88,Prefers_Unprocessed
19,Ultraprocessed,3.0,2.83,-4.88,Prefers_Unprocessed
20,Unprocessed,4.0,2.67,1.0,Prefers_Ultraprocessed
20,Ultraprocessed,5.0,3.02,1.0,Prefers_Ultraprocessed
21,Unprocessed,5.88,2.7,0.38,Prefers_Ultraprocessed
21,Ultraprocessed,6.25,2.6,0.38,Prefers_Ultraprocessed
22,Unprocessed,3.5,3.02,-0.13,Prefers_Unprocessed
